अ
अत्यन्तीन
अत्यय
अत्यर्थ
अत्यर्थमधुर
अत्यल्प
अत्याहित
अत्रि
अथ
अथो
अदभ्र
अदर्शन
अदितिनन्दन
अदृश्
अदृष्ट
अदृष्टि
अद्धा
अद्भुत
अद्मर
अद्य
अद्रि
अद्वयवादिन्
अधम
अधमर्ण
अधर
अधरेद्युस्
अधिक
अधिकर्धि
अधिकाङ्ग
अधिकार
अधिकृत
अधिक्षिप्त
अधिप
अधिभू
अधिरोहिणी
अधिवासन
अधिविन्ना
अधिश्रयणी
अधिष्ठान
अधीन
अधीर
अधीश्वर
अधुना
अधृष्ट
अधोक्षज
अधोगन्तृ
अधोभुवन
अधोमुख
अधोम्शुक
अध्यक्ष
अध्यवसाय
अध्यापक
अध्याहार
अध्यूढा
अध्येषणा
अध्वग
अध्वनीन
अध्वन्
अध्वन्य
अध्वर
अध्वर्यु
अनक्षर
अनङ्ग
अनच्छ
अनडुह्
अनन्त
अनन्ता
अनन्यज
अनन्यवृत्ति
अनय
अनर्थक
अनल
अनवधानता
अनवरत
अनवरार्ध्य
अनवस्कर
अनस्
अनागतार्तवा
अनादर
अनामय
अनामिका
अनायासकृत
अनारत
अनार्यतिक्त
अनाहत
अनिमिष
अनिरुद्ध
अनिल
अनिश
अनीक
अनीकस्थ
अनीकिनी
अनु
अनुक
अनुकम्पा
अनुकर्ष
अनुकल्प
अनुकामीन
अनुकार
अनुक्रम
अनुक्रोश
अनुग
अनुग्रह
अनुचर
अनुज
अनुजीविन्
अनुतर्ष
अनुतर्षण
अनुताप
अनुत्तम
अनुत्तर
अनुपद
अनुपदीना
अनुपमा
अनुप्लव
अनुबन्ध
अनुबोध
अनुभव
अनुभाव
अनुमति
अनुयोग
अनुरोध
अनुलाप
अनुवर्तन
अनुशय
अनुष्ण
अनुहार
अनूक
अनूचान
अनूनक
अनूप
अनूरु
अनृजु
अनृत
अनेकप
अनेहा
अनोकह
अन्त
अन्तःपुर
अन्तक
अन्तर
अन्तरा
अन्तराय
अन्तराल
अन्तरिक्ष
अन्तरीप
अन्तरीय
अन्तरे
अन्तरेण
अन्तर्गत
अन्तर्द्वार
अन्तर्धा
अन्तर्धि
अन्तर्मनस्
अन्तर्वंशिक
अन्तर्वत्नी
अन्तर्वाणि
अन्तावसायिन्
अन्तिक
अन्तिकतम
अन्तिका
अन्तिकाश्रय
अन्तेवासिन्
अन्त्य
अन्त्र
अन्दुक
अन्ध
अन्धकरिपु
अन्धकार
अन्धतमस
अन्धु
अन्न
अन्य
अन्यतर
अन्यतरेद्युस्
अन्येद्युस्
अन्वक्ष
अन्वञ्च्
अन्वय
अन्ववाय
अन्वाहार्य
अन्विष्ट
अन्वेषणा
अन्वेषित
अपकारगिर्
अपक्रम
अपघन
अपचय
अपचायित
अपचित
अपचिति
अपटु
अपत्य
अपत्रपा
अपत्रपिष्णु
अपथ
अपथिन्
अपदान्त
अपदिशम्
अपदेश
अपध्वस्त
अपभ्रंश
अपयान
अपरस्पर
अपराजिता
अपराद्धपृषत्क
अपराध
अपराह्ण
अपरेद्युस्
अपर्णा
अपलाप
अपवर्ग
अपवर्जन
अपवाद
अपवारण
अपशब्द
अपष्ठु
अपसद
अपसर्प
अपसव्य
अपस्कर
अपस्नात
अपहार
अपाङ्ग
अपाङ्गदर्शन
अपान
अपामार्ग
अपाम्पति
अपावृत
अपासन
अपि
अपिधान
अपिनद्ध
अपूप
अपोगण्ड
अप्
अप्पति
अप्पित्त
अप्रगुण
अप्रत्यक्ष
अप्रधान
अप्रहत
अप्राग्र्य
अप्सरस्
अफल
अबद्ध
अबद्धमुख
अबला
अबाध
अब्ज
अब्जयोनि
अब्जिनीपति
अब्द
अब्धि
अब्धिकफ
अब्रह्मण्य
अभय
अभया
अभाषण
अभिक
अभिक्रम
अभिख्या
अभिग्रह
अभिग्रहण
अभिघातिन्
अभिचर
अभिजन
अभिजात
अभिज्ञ
अभितस्
अभिधान
अभिध्या
अभिनय
अभिनव
अभिनवोद्भिद्
अभिनिर्मुक्त
अभिनिर्याण
अभिनीत
अभिपन्न
अभिप्राय
अभिभूत
अभिमान
अभियोग
अभिरूप
अभिलाव
अभिलाष
अभिलाषुक
अभिवादक
अभिवादन
अभिव्याप्ति
अभिशस्त
अभिशस्ति
अभिशाप
अभिषङ्ग
अभिषव
अभिषुत
अभिषेणन
अभिष्टुत
अभिसम्पात
अभिसारिका
अभिहार
अभिहित
अभीक
अभीक्ष्णम्
अभीप्सित
अभीषङ्ग
अभीषु
अभीष्ट
अभ्यग्र
अभ्यञ्जन
अभ्यन्तर
अभ्यमित
अभ्यमित्रीण
अभ्यमित्रीय
अभ्यमित्र्य
अभ्यर्ण
अभ्यवकर्षण
अभ्यवस्कन्दन
अभ्यवहृत
अभ्याख्यान
अभ्यागम
अभ्यागारिक
अभ्यादान
अभ्यान्त
अभ्यामर्द
अभ्याश
अभ्यासादन
अभ्युत्थान
अभ्युदित
अभ्युपगम
अभ्युपपत्ति
अभ्यूष
अभ्र
अभ्रक
अभ्रपुष्प
अभ्रमातङ्ग
अभ्रमु
अभ्रमुवल्लभ
अभ्रि
अभ्रिय
अभ्रेष
अमत्र
अमर
अमरावती
अमर्त्य
अमर्ष
अमर्षण
अमल
अमला
अमा
अमांस
अमात्य
अमावस्या
अमावास्या
अमित्र
अमी
अमुत्र
अमृणाल
अमृत
अमृता
अमृतान्धस्
अमोघा
अम्बर
अम्बरीष
अम्बष्ठ
अम्बष्ठकरण
अम्बष्ठा
अम्बा
अम्बिका
अम्बु
अम्बुकण
अम्बुज
अम्बुभृत्
अम्बुवेतस
अम्बुसरण
अम्भस्
अम्भोरुह
अम्मय
अम्ल
अम्ललोणिका
अम्लवेतस
अम्लान
अम्लिका
अय
अयःप्रतिमा
अयन
अयस्
अयि
अयोग्र
अर
अरणि
अरण्य
अरण्यानी
अरत्नि
अरर
अरलु
अरविन्द
अराति
अराल
अरि
अरित्र
अरिमेद
अरिष्ट
अरिष्टदुष्टधी
अरुण
अरुणा
अरुन्तुद
अरुष्कर
अरुस्
अरोक
अर्क
अर्कपर्ण
अर्कबन्धु
अर्काह्व
अर्गल
अर्घ
अर्घ्य
अर्चा
अर्चित
अर्चिताध्वन्
अर्चिस्
अर्जक
अर्जुन
अर्जुनी
अर्णव
अर्णस्
अर्तन
अर्ति
अर्थ
अर्थना
अर्थप्रयोग
अर्थिन्
अर्थ्य
अर्दना
अर्दित
अर्ध
अर्धचन्द्रा
अर्धनाव
अर्धरात्र
अर्धहार
अर्धोरुक
अर्भक
अर्य
अर्यमन्
अर्या
अर्याणी
अर्यी
अर्वन्
अर्वाक्
अर्शस्
अर्शोघ्न
अर्शोरोग
अर्हणा
अर्हित
अलक
अलका
अलक्त
अलक्ष्मी
अलगर्द
अलङ्करिष्णु
अलङ्कर्तृ
अलङ्कर्मन्
अलङ्कार
अलङ्कृत
अलङ्क्रिया
अलम्
अलर्क
अलस
अलात
अलाबू
अलि
अलिक
अलिञ्जर
अलिन्
अलिन्द
अलीक
अल्प
अल्पतनु
अल्पमारिष
अल्पसरस्
अल्पिष्ठ
अल्पीयस्
अवकर
अवकीर्णिन्
अवकृष्ट
अवकेशिन्
अवक्रय
अवगणित
अवगत
अवगीत
अवग्रह
अवग्राह
अवचूर्णित
अवज्ञा
अवज्ञात
अवट
अवटीट
अवटु
अवतंस
अवतमस
अवतोका
अवदंश
अवदात
अवदान
अवदारण
अवदाह
अवदीर्ण
अवद्य
अवधान
अवधि
अवध्वस्त
अवन
अवनत
अवनाट
अवनाय
अवनि
अवन्तिसोम
अवन्ध्य
अवभृथ
अवभ्रट
अवम
अवमत
अवमर्द
अवमानना
अवमानित
अवयव
अवरज
अवरति
अवरवर्ण
अवरीण
अवरोधन
अवरोह
अवर्ण
अवलक्ष
अवलग्न
अवलेप
अवल्गुज
अववाद
अवश्यम्
अवश्याय
अवष्टब्ध
अवष्टम्भ
अवसर
अवसान
अवसित
अवस्कर
अवहार
अवहित्था
अवहेलन
अवाक्
अवाक्पुष्पी
अवाग्र
अवाची
अवाचीन
अवाच्
अवाच्य
अवाञ्च्
अवार
अवासस्
अवि
अवित
अविद्या
अविनीत
अविरत
अविलम्बित
अविस्पष्ट
अवीचि
अवीरा
अवेक्षा
अव्यक्त
अव्यक्तराग
अव्यण्डा
अव्यथा
अव्यय
अव्यवहित
अशनाया
अशनायित
अशनि
अशित
अशिश्वी
अशेष
अशोक
अशोकरोहिणी
अश्मगर्भ
अश्मज
अश्मन्
अश्मन्त
अश्मपुष्प
अश्मरी
अश्मसार
अश्रान्त
अश्रि
अश्रु
अश्लील
अश्व
अश्वकर्णक
अश्वत्थ
अश्वमेधीय
अश्वयुज्
अश्वा
अश्वारोह
अश्विनी
अश्विनीसुत
अश्विनौ
अषडक्षीण
अष्टमूर्ति
अष्टापद
अष्टीवत्
असकृत्
असती
असतीसुत
असन
असमीक्ष्यकारिन्
असार
असि
असिक्नी
असित
असिधावक
असिधेनुका
असिपुत्री
असिहेति
असु
असुधारण
असुर
असूया
असूर्क्षण
असृज्
असृर्ग्धरा
अर्थ
अर्थना
अर्थप्रयोग
अर्थिन्
अर्थ्य
अर्दना
अर्दित
अर्ध
अर्धचन्द्रा
अर्धनाव
अर्धरात्र
अर्धहार
अर्धोरुक
अर्भक
अर्य
अर्यमन्
अर्या
अर्याणी
अर्यी
अर्वन्
अर्वाक्
अर्शस्
अर्शोघ्न
अर्शोरोग
अर्हणा
अर्हित
अलक
अलका
अलक्त
अलक्ष्मी
अलगर्द
अलङ्करिष्णु
अलङ्कर्तृ
अलङ्कर्मन्
अलङ्कार
अलङ्कृत
अलङ्क्रिया
अलम्
अलर्क
अलस
अलात
अलाबू
अलि
अलिक
अलिञ्जर
अलिन्
अलिन्द
अलीक
अल्प
अल्पतनु
अल्पमारिष
अल्पसरस्
अल्पिष्ठ
अल्पीयस्
अवकर
अवकीर्णिन्
अवकृष्ट
अवकेशिन्
अवक्रय
अवगणित
अवगत
अवगीत
अवग्रह
अवग्राह
अवचूर्णित
अवज्ञा
अवज्ञात
अवट
अवटीट
अवटु
अवतंस
अवतमस
अवतोका
अवदंश
अवदात
अवदान
अवदारण
अवदाह
अवदीर्ण
अवद्य
अवधान
अवधि
अवध्वस्त
अवन
अवनत
अवनाट
अवनाय
अवनि
अवन्तिसोम
अवन्ध्य
अवभृथ
अवभ्रट
अवम
अवमत
अवमर्द
अवमानना
अवमानित
अवयव
अवरज
अवरति
अवरवर्ण
अवरीण
अवरोधन
अवरोह
अवर्ण
अवलक्ष
अवलग्न
अवलेप
अवल्गुज
अववाद
अवश्यम्
अवश्याय
अवष्टब्ध
अवष्टम्भ
अवसर
अवसान
अवसित
अवस्कर
अवहार
अवहित्था
अवहेलन
अवाक्
अवाक्पुष्पी
अवाग्र
अवाची
अवाचीन
अवाच्
अवाच्य
अवाञ्च्
अवार
अवासस्
अवि
अवित
अविद्या
अविनीत
अविरत
अविलम्बित
अविस्पष्ट
अवीचि
अवीरा
अवेक्षा
अव्यक्त
अव्यक्तराग
अव्यण्डा
अव्यथा
अव्यय
अव्यवहित
अशनाया
अशनायित
अशनि
अशित
अशिश्वी
अशेष
अशोक
अशोकरोहिणी
अश्मगर्भ
अश्मज
अश्मन्
अश्मन्त
अश्मपुष्प
अश्मरी
अश्मसार
अश्रान्त
अश्रि
अश्रु
अश्लील
अश्व
अश्वकर्णक
अश्वत्थ
अश्वमेधीय
अश्वयुज्
अश्वा
अश्वारोह
अश्विनी
अश्विनीसुत
अश्विनौ
अषडक्षीण
अष्टमूर्ति
अष्टापद
अष्टीवत्
असकृत्
असती
असतीसुत
असन
असमीक्ष्यकारिन्
असार
असि
असिक्नी
असित
असिधावक
असिधेनुका
असिपुत्री
असिहेति
असु
असुधारण
असुर
असूया
असूर्क्षण
असृज्
असृर्ग्धरा
आ
आकम्पित
आकर
आकर्ष
आकल्प
आकार
आकारगुप्ति
आकारणा
आकाश
आकीर्ण
आकुल
आक्रन्द
आक्रीड
आक्रोश
आक्रोशन
आक्षारण
आक्षारित
आक्षीव
आक्षेप
आखण्डल
आखु
आखुभुज्
आखेट
आख्या
आख्यात
आख्यायिका
आगन्तु
आगस्
आगार
आगू
आग्नायी
आग्रहायणिक
आग्रहायणी
आङ्
आङ्गिक
आङ्गिरस
आचमन
आचाम
आचार्य
आचार्या
आचार्यानी
आचित
आच्छ
आच्छादन
आच्छुरितक
आच्छोदन
आजक
आजानेय
आजि
आजीव
आजू
आज्ञा
आज्य
आटि
आडम्बर
आडि
आढक
आढकिक
आढकी
आढ्य
आतङ्क
आतञ्चन
आततायिन्
आतप
आतपत्र
आतर
आतायिन्
आतिथ्य
आतुर
आतोद्य
आत्तगर्व
आत्मगुप्ता
आत्मघोष
आत्मज
आत्मजा
आत्मन्
आत्मभू
आत्मम्भरि
आत्रेयी
आथर्वण
आदर्श
आदि
आदिकवि
आदिकारण
आदितेय
आदित्य
आदीनव
आदृत
आद्य
आद्यमाषक
आद्यून
आधार
आधि
आधूत
आधोरण
आध्यान
आनक
आनकदुन्दुभि
आनत
आनद्ध
आनन
आनन्द
आनन्दथु
आनन्दन
आनर्त
आनाय
आनाय्य
आनाह
आनुपूर्वी
आन्धसिक
आन्वीक्षिकी
आपक्व
आपगा
आपण
आपणिक
आपत्प्राप्त
आपद्
आपन्न
आपन्नसत्त्वा
आपमित्यक
आपान
आपीड
आपीन
आपूपिक
आप्त
आप्य
आप्रच्छन्न
आप्रपदीन
आप्लव
आप्लाव
आप्लुतव्रती
आबन्ध
आभरण
आभाषण
आभास्वर
आभिचार
आभीर
आभीरपल्ली
आभीरी
आभील
आभोग
आमगन्धि
आमनस्य
आमय
आमयाविन्
आमलकी
आमिक्षा
आमिष
आमिषाशिन्
आमुक्त
आमोद
आमोदिन्
आम्
आम्नाय
आम्र
आम्रातक
आम्रेडित
आयत
आयतन
आयति
आयत्त
आयाम
आयुध
आयुधिक
आयुधीय
आयुष्मत्
आयुस्
आयोधन
आरकूट
आरग्वध
आरति
आरनालक
आरम्भ
आरव
आरा
आरात्
आराधन
आराम
आरालिक
आराव
आरेवत
आरोग्य
आरोह
आरोहण
आर्तगल
आर्तव
आर्द्र
आर्द्रक
आर्य
आर्या
आर्यावर्त
आर्षभ्य
आल
आलम्भ
आलय
आलवाल
आलस्य
आलान
आलाप
आलि
आली
आलीढ
आलु
आलोक
आलोकन
आवपन
आवर
आवर्त
आवलि
आवसित
आवाप
आवापक
आवाल
आविग्न
आविद्ध
आविध
आविल
आविस्
आवुक
आवुत्त
आवृत
आवृत्त
आवेगी
आवेशन
आवेशिक
आशंसितृ
आशंसु
आशय
आशर
आशा
आशितङ्गवीन
आशिस्
आशीविष
आशु
आशुग
आशुशुक्षणि
आश्चर्य
आश्रम
आश्रय
आश्रयाश
आश्रव
आश्रुत
आश्व
आश्वत्थ
आश्वयुज
आश्विन
आश्विनेयौ
आश्वीन
आश्वीय
आषाढ
आसक्त
आसन
आसना
आसन्न
आसव
आसादित
आसार
आसुरी
आसेचनक
आस्कन्दन
आस्कन्दित
आस्तरण
आस्तु
आस्था
आस्थान
आस्थानी
आस्पद
आस्फोट
आस्फोटनी
आस्फोटा
आस्य
आस्या
आस्रव
आहत
आहतलक्षण
आहव
आहवनीय
आहार
आहाव
आहेय
आहो
आहोपुरुषिका
आह्नाय
आह्वय
आह्वा
आह्वान
इक्षु
इक्षुगन्धा
इक्षुर
इक्ष्वाकु
इङ्ग
इङ्गित
इङ्गुदी
इच्छा
इच्छावती
इज्याशील
इट्चर
इडा
इतर
इतरेद्युस्
इति
इतिह
इतिहास
इत्वरी
इदानीम्
इध्म
इन
इन्दिन्दिर
इन्दिरा
इन्दीवर
इन्दीवरी
इन्दु
इन्द्र
इन्द्रद्रु
इन्द्रयव
इन्द्रलुप्तक
इन्द्रवारुणी
इन्द्रसुरस
इन्द्राणिका
इन्द्राणी
इन्द्रायुध
इन्द्रारि
इन्द्रावरज
इन्द्रिय
इन्द्रियार्थ
इन्धन
इभ
इभ्य
इरम्मद
इरा
इला
इल्वला
इव
इष
इषु
इषुधि
इष्ट
इष्टकापथ
इष्टगन्ध
इष्टार्थोद्युक्त
इष्टि
इष्वास
ईक्षण
ईक्षणिका
ईडित
ईति
ईरिण
ईरित
ईर्म
ईर्वारु
ईर्ष्या
ईलित
ईली
ईश
ईशा
ईशान
ईशितृ
ईशित्व
ईश्वर
ईश्वरी
ईषत्
ईषत्पाण्डु
ईषिका
ईहा
ईहामृग
उ
उक्त
उक्ति
उक्षन्
उखा
उख्य
उग्र
उग्रगन्धा
उच्च
उच्चटा
उच्चण्ड
उच्चार
उच्चावच
उच्चैःश्रवस्
उच्चैर्घुष्ट
उच्चैस्
उच्छ्रय
उच्छ्राय
उच्छ्रित
उज्जासन
उज्ज्वल
उञ्छशिल
उटज
उडु
उडुप
उड्डीन
उत
उताहो
उत्क
उत्कट
उत्कण्ठा
उत्कर
उत्कर्ष
उत्कलिका
उत्कार
उत्क्रोश
उत्त
उत्तंस
उत्तप्त
उत्तम
उत्तमर्ण
उत्तमा
उत्तमाङ्ग
उत्तर
उत्तरा
उत्तरासङ्ग
उत्तरीय
उत्तरेद्युस्
उत्तान
उत्तानशया
उत्थान
उत्थित
उत्पतितृ
उत्पतिष्णु
उत्पत्ति
उत्पल
उत्पलशारिवा
उत्पात
उत्फुल्ल
उत्स
उत्सर्जन
उत्सव
उत्सादन
उत्साह
उत्साहवर्धन
उत्सुक
उत्सृष्ट
उत्सेध
उदक
उदक्
उदक्या
उदग्र
उदज
उदधि
उदन्त
उदन्या
उदन्वत्
उदपान
उदय
उदर
उदर्क
उदवसित
उदश्वित्
उदात्त
उदान
उदार
उदासीन
उदाहार
उदित
उदीची
उदीचीन
उदीच्य
उदुम्बर
उदुम्बरपर्णी
उदूखल
उद्गत
उद्गमनीय
उद्गाढ
उद्गातृ
उद्गार
उद्गूर्ण
उद्ग्राह
उद्घन
उद्घाटन
उद्दान
उद्दाल
उद्दित
उद्द्राव
उद्ध
उद्धर्ष
उद्धव
उद्धात
उद्धान
उद्धार
उद्धृत
उद्भव
उद्भिज
उद्भिज्ज
उद्भिद्
उद्भ्रम
उद्यत
उद्यम
उद्यान
उद्र
उद्वर्तन
उद्वान्त
उद्वासन
उद्वाह
उद्वेग
उन्दुर
उन्दुरु
उन्नत
उन्नतानत
उन्नय
उन्नाय
उन्नेय
उन्मत्त
उन्मदिष्णु
उन्मनस्
उन्माथ
उन्माद
उन्मादन
उन्मादवत्
उपकण्ठ
उपकारिका
उपकार्या
उपकुंञ्चिका
उपकुञ्चिका
उपकुल्या
उपक्रम
उपक्रोश
उपगत
उपगूहन
उपग्रह
उपग्राह्य
उपघ्न
उपचरित
उपचाय्य
उपचित
उपचित्रा
उपजाप
उपज्ञा
उपतप्तृ
उपताप
उपत्यका
उपदा
उपधा
उपधान
उपधि
उपनाह
उपनिधि
उपनिषद्
उपनिष्कर
उपन्यास
उपपति
उपप्लव
उपबर्ह
उपभृत्
उपभोग
उपमा
उपमान
उपयम
उपयाम
उपरक्त
उपरक्षण
उपराग
उपराम
उपल
उपलब्धि
उपलम्भ
उपला
उपवन
उपवर्तन
उपवास
उपविषा
उपवीत
उपशल्य
उपशाय
उपश्रुत
उपसङ्ख्यान
उपसम्पन्न
उपसर
उपसर्ग
उपसर्जन
उपसर्या
उपसूर्यक
उपस्कर
उपस्थ
उपस्पर्श
उपहार
उपह्वर
उपांशु
उपाकरण
उपाकृत
उपात्यय
उपादान
उपाधि
उपाध्याय
उपाध्याया
उपाध्यायानी
उपाध्यायी
उपानह्
उपायन
उपावृत्त
उपासङ्ग
उपासन
उपासना
उपासित
उपाहित
उपेन्द्र
उपोदका
उपोद्धात
उप्तकृष्ट
उभयद्युस्
उभयेद्युस्
उमा
उमापति
उम्य
उरःछद
उरःसूत्रिका
उरग
उरण
उरणाख्य
उरभ्र
उररी
उररीकृत
उरसिल
उरस्
उरस्य
उरस्वत्
उरु
उरुबूक
उर्वरा
उर्वशी
उर्वी
उलप
उलूक
उलूखल
उलूखलक
उलूपिन्
उल्का
उल्ब
उल्बण
उल्मुक
उल्लाघ
उल्लोच
उल्लोल
उशनस्
उशीर
उषणा
उषर्बुध
उषस्
उषा
उषापति
उषित
उष्ट्र
उष्ण
उष्णरश्मि
उष्णिका
उष्णीष
उष्णोपगम
उस्रा
ऊत
ऊधस्
ऊम्
ऊररी
ऊरव्य
ऊरी
ऊरीकृत
ऊरु
ऊरुज
ऊरुपर्वन्
ऊर्ज
ऊर्जस्वल
ऊर्जस्विन्
ऊर्जातिशयान्वित
ऊर्णनाभ
ऊर्णा
ऊर्णायु
ऊर्ध्वजानु
ऊर्ध्वज्ञु
ऊर्मि
ऊर्मिका
ऊर्मिमत्
ऊष
ऊषर
ऊषवत्
ऊष्मक
ऊष्मागम
ऊह
ऋक्थ
ऋक्ष
ऋक्षगन्धा
ऋक्षगन्धिका
ऋक्षाच्छ
ऋच्
ऋजीष
ऋजु
ऋण
ऋत
ऋतीया
ऋतु
ऋतुमती
ऋते
ऋत्विज्
ऋद्ध
ऋद्धि
ऋभव
ऋभुक्षिन्
ऋश्य
ऋषभ
ऋषि
ऋष्यप्रोक्ता
एक
एकक
एककुण्डल
एकगुरु
एकतान
एकदन्त
एकदा
एकदृष्टि
एकधुर
एकधुरावह
एकधुरीण
एकपदी
एकपिङ्ग
एकसर्ग
एकहायनी
एकाकिन्
एकागारिक
एकाग्र
एकाग्र्य
एकान्त
एकायन
एकायनगत
एकावली
एकाष्टीला
एकाष्ठील
एड
एडक
एडगज
एडमूक
एडूक
एण
एतर्हि
एध
एधित
एनस्
एरण्ड
एला
एलापर्णी
एलावालुक
एव
एवम्
एषणिका
एषिका
ऐङ्गुद
ऐण
ऐणेय
ऐतिह्य
ऐन्द्रियक
ऐरावण
ऐरावत
ऐरावती
ऐलविल
ऐलेय
ऐश्वर्य
ऐषमम्
ओकस्
ओकास्
ओघ
ओङ्कार
ओजस्
ओड्रपुष्प
ओतु
ओदन
ओम्
ओष
ओषधि
ओषधी
ओषधीश
ओष्ठ
औक्षक
औत्तानपादि
औदनिक
औदरिक
औपगवक
औपयिक
औपवस्त
औमीन
औरभ्रक
औरस
और्ध्वदेहिक
और्व
औलूक्य
औशीर
औषण
औषध
औष्ट्रक
क
कंस
कंसाराति
ककुद
ककुद्मती
ककुभ
ककुभ्
कक्कोलक
कक्ष
कक्ष्या
कङ्क
कङ्कटक
कङ्कण
कङ्कतिका
कङ्काल
कङ्गु
कच
कच्चर
कच्चित्
कच्छ
कच्छप
कच्छपी
कच्छु
कच्छुर
कच्छू
कञ्चुक
कञ्चुकिन्
कट
कटक
कटभी
कटम्भरा
कटाक्ष
कटि
कटिप्रोथ
कटु
कटुतुम्बी
कटुरोहिणी
कट्फल
कट्वङ्ग
कठिञ्जर
कठिन
कठिल्लक
कठोर
कडङ्गर
कडम्ब
कडार
कण
कणा
कणिका
कणिश
कण्टक
कण्टकारिका
कण्टकिफल
कण्ठ
कण्ठभूषा
कण्ठीरव
कण्डू
कण्डूया
कण्डूरा
कण्डोल
कण्डोलवीणा
कत्तृण
कथा
कदध्वन्
कदम्ब
कदम्बक
कदर
कदर्य
कदली
कदाचित्
कदुष्ण
कद्रु
कद्वद
कनक
कनकाध्यक्ष
कनकालुका
कनकाह्वय
कनिष्ठ
कनिष्ठा
कनीनिका
कनीयस्
कन्द
कन्दर
कन्दराल
कन्दर्प
कन्दली
कन्दु
कन्दुक
कन्धरा
कन्यकाजात
कन्या
कपट
कपर्द
कपर्दिन्
कपाट
कपाल
कपालभृत्
कपि
कपिकच्छू
कपित्थ
कपिल
कपिला
कपिवल्ली
कपिश
कपिशीर्ष
कपीतन
कपोत
कपोतपालिका
कपोताङ्घ्रि
कपोल
कफ
कफिन्
कफोणि
कबन्ध
कबरी
कमठ
कमठी
कमण्डलु
कमन
कमल
कमला
कमलासन
कमलोत्तर
कमलोद्भव
कमितृ
कम्
कम्प
कम्पन
कम्प्र
कम्बल
कम्बलिवाह्यक
कम्बि
कम्बु
कम्बुग्रीवा
कम्र
कर
करक
करका
करज
करञ्जक
करट
करण
करतोया
करपत्र
करभ
करभूषण
करमर्दक
करम्भ
कररुह
करवाल
करवालिका
करवीर
करशाखा
करशीकर
करहाट
करहाटक
कराल
करिगर्जित
करिणी
करिन्
करिपिप्पली
करिशावक
करीर
करीष
करुणा
करेटु
करेणु
करोटि
कर्क
कर्कटक
कर्कटी
कर्कन्धू
कर्करी
कर्करेटु
कर्कश
कर्कारु
कर्चूर
कर्चूरक
कर्ण
कर्णजलौका
कर्णधार
कर्णवेष्टन
कर्णिका
कर्णिकार
कर्णीरथ
कर्णेजप
कर्तरी
कर्दम
कर्पट
कर्पर
कर्परी
कर्पूर
कर्बुर
कर्मकर
कर्मकार
कर्मक्षम
कर्मठ
कर्मण्या
कर्मन्
कर्मन्दिन्
कर्ममोटी
कर्मशील
कर्मशूर
कर्मसचिव
कर्मसाक्षिन्
कर्मार
कर्मेन्द्रिय
कर्ष
कर्षक
कर्षफल
कर्षु
कर्षू
कल
कलकल
कलङ्क
